member_id,group_id,user_id,join_date
1,1,1,2025-01-15
2,1,2,2025-01-15
3,1,3,2025-01-15
4,1,4,2025-01-15
5,2,1,2025-09-01
6,2,5,2025-09-01
7,2,6,2025-09-01
8,2,7,2025-09-01
9,3,2,2025-08-01
10,3,3,2025-08-01
11,3,8,2025-08-01
12,3,9,2025-08-01
13,4,1,2025-03-01
14,4,4,2025-03-01
15,4,10,2025-03-01
16,5,3,2025-09-15
17,5,5,2025-09-15
18,5,11,2025-09-15
19,6,4,2025-07-01
20,6,6,2025-07-01
21,6,9,2025-07-01
22,6,12,2025-07-01
23,7,1,2025-10-15
24,7,2,2025-10-15
25,7,4,2025-10-15
26,7,7,2025-10-15
27,7,8,2025-10-15
28,8,1,2025-10-01
29,8,3,2025-10-01
30,8,5,2025-10-01
31,8,10,2025-10-01
